Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort
à bout portant	adjectief	2.1	631804	631847	onmiddellijk	onverwachts
aanzienlijk	adjectief	1.0	1816	1817	aanmerkelijk	vrij groot
achterlijk	adjectief	A.3.0	2846	570830	bespottelijk	belachelijk
acoliet	substantief	2.0	3112	3114	volgeling	aanhanger
adhesie	substantief	3.0	3450	3453	steunbetuiging	instemming
afgelopen	adjectief	1.0	3999	4000	voorbijgegaan	verleden
afkuisen	werkwoord	1.0	329652	329660	schoonmaken	reinigen
aflijvig	adjectief	1.0	330279	330283	gestorven	overleden
afpitsen	werkwoord	1.0	330289	330290	afknabbelen	afnemen
afreis	substantief	1.1	4437	330314	overlijden	dood
afspanning	substantief	2.0	4691	330359	afzetting	omheining
afz.	adjectief	2.0	5228	5230	afzonderlijke	afzonderlijk
alaam	substantief	1.0	330371	330372	benodigdheden	gereedschap
als de bliksem	verbinding	1.0	891701	891712	ogenblikkelijk	zeer snel
als de donder	verbinding	1.0	354703	354704	ogenblikkelijk	razendsnel
als de wiedeweerga	bijwoord	1.0	422374	891703	razendsnel	zeer snel
als een pijl uit een boog	verbinding	1.0	910907	917034	razendsnel	zeer snel
als een sneltrein	verbinding	1.0	930179	930180	razendsnel	zeer snel
als een speer	verbinding	1.0	891702	891714	razendsnel	zeer snel
als een veulen	verbinding	1.0	922778	922779	dartel	speels
asje	tussenwerpsel	1.0	979498	979499	alsjeblieft	asjeblieft
aubergine	adjectief	4.0	10287	10289	auberginekleurig	donkerpaars
baanvast	adjectief	1.1	365147	556586	bestendig	stabiel
bar en boos	verbinding	1.0	894730	894731	verschrikkelijk	heel erg
belatafeld	adjectief	1.0	477598	940491	betoeterd	belazerd
beloega	substantief	1.0	208564	208565	beloegawalvis	witte dolfijn
blikskaters	adjectief	B.1.0	421471	949070	verfoeilijk	verduiveld
bro	substantief	2.0	943202	986615	kerel	man
cafard	substantief	1.0	364948	364986	teleurstelling	tegenslag
chick	substantief	1.0	29782	29783	mokkeltje	meisje
couvert	substantief	2.0	33774	33776	briefomslag	envelop
crimineel	adjectief	6.0	34069	34075	verschrikkelijk	vreselijk
crimineel	adjectief	7.0	34069	34076	verschrikkelijk	buitengewoon
daags	adjectief	2.0	34900	932280	doordeweeks	alledaags
depri	adjectief	1.0	37259	37260	gedeprimeerd	depressief
diverse	voornaamwoord	1.0	970229	970231	verschillende	verscheidene
dokken	werkwoord	4.0	40354	40358	aanleggen	aanmeren
douceur	substantief	1.0	498044	498050	extraatje	gift
douceurtje	substantief	1.0	42037	42038	extraatje	gift
drerrie	substantief	1.0	943748	946900	kameraad	vriend
druivelaar	substantief	1.0	43371	43372	druivenstruik	druivenplant
duifje	substantief	2.0	43855	205734	schatje	liefje
fantastisch	adjectief	3.0	50143	932284	ongelofelijk	buitengewoon
farizeeër	substantief	2.0	50161	50163	schijnheilige	huichelaar
flessen	werkwoord	1.0	51845	51846	oplichten	afzetten
flut en flodder	verbinding	1.0	912468	912474	waardeloos	onbenullig
flut of flodder	verbinding	1.0	912469	912473	waardeloos	onbenullig
foetsie	bijwoord	1.0	52289	52290	verdwenen	weg
frutselen	werkwoord	1.0	53654	53655	frunniken	friemelen
gewaad	substantief	1.0	58892	488688	omhulsel	kleding
grille	substantief	2.0	61863	61865	traliewerk	hekwerk
haai	tussenwerpsel	B.1.0	63130	201492	openingsgroet	hai
huiskat	substantief	1.2	69600	192494	huis-tuin-en-keukenkat	kat die geen raskat is
inclusief	voorzetsel	2.0	71824	890036	waaronder	ook
jat	substantief	3.0	75479	75482	koffiekop	kop
kadet	substantief	1.1	77030	515042	achterste	bil
kiek	substantief	2.0	79765	197272	kieken	kip
kift	substantief	1.0	79938	79939	na-ijver	jaloezie
kleed	substantief	6.0	81051	511501	omhulling	bedekking
kraag	substantief	1.0	84808	536503	hals	keel
kukelen	werkwoord	1.0	86056	86057	tuimelen	vallen
langs de neus weg	verbinding	1.0	897576	897577	achteloos	terloops
lekkernij	substantief	1.0	89390	89391	versnapering	iets lekkers
lit	adjectief	1.0	664363	888233	geweldig	leuk
luidens	voorzetsel	1.0	92853	92854	overeenkomstig	volgens
luttel	adjectief	3.0	93128	652670	onbetekenend	onbeduidend
madelief	substantief	1.0	94032	94033	madeliefje	plant
makken	werkwoord	1.0	94431	94432	uitgeven	besteden
meerdere	voornaamwoord	B.1.0	96870	970243	verschillende	verscheidene
met een hete aardappel in de mond	verbinding	1.0	897666	897668	geaffecteerd	bekakt
met een hete patat in de mond	verbinding	1.0	897667	897746	geaffecteerd	bekakt
mieteren	werkwoord	2.0	99036	99038	tuimelen	vallen
mot	substantief	A.7.0	101748	304975	slag	klap
mul	adjectief	B.1.0	102293	102299	onsamenhangend	poederig
nice	adjectief	1.0	953191	974892	prettig	leuk
noncha	adjectief	1.0	984822	984823	onachtzaam	nonchalant
onoprecht	adjectief	1.0	110802	110803	huichelachtig	niet oprecht
op gang brengen	verbinding	1.0	927506	927507	teweegbrengen	veroorzaken
opkoken	werkwoord	3.0	113755	886211	voorschotelen	opdissen
opkramen	werkwoord	2.0	365917	570094	vertrekken	weggaan
overdrijven	werkwoord	A.1.1	116107	588680	wegtrekken	verdwijnen
pandit	substantief	1.0	444558	599762	hindoegeestelijke	geleerde hindoe
patat	tussenwerpsel	3.0	119352	519096	klets	boem
pieper	substantief	3.0	121358	497964	duivenjong	jonge duif
poedelen	werkwoord	3.0	123159	123162	blunderen	missen
pokoe	substantief	1.0	945738	945739	muzieknummer	liedje
pr-officer	substantief	1.0	602028	603871	publicrelationsfunctionaris	pr-functionaris
skeer	adjectief	2.0	602120	942448	vreemd	raar
skeer	adjectief	1.1	602120	942449	goedkoop	armoedig
smakkerd	substantief	1.0	389351	503432	zoen	kus
stierlijk	bijwoord	1.0	149393	149394	buitengewoon	in hoge mate
subiet	bijwoord	1.0	151612	151613	ogenblikkelijk	meteen
superbe	adjectief	1.0	151945	151946	uitmuntend	prachtig
tegen wil en dank	verbinding	1.0	638257	902404	noodgedwongen	met tegenzin
tikkie	substantief	1.0	885286	885287	tikkeltje	beetje
t.w.	bijwoord	1.0	152579	152580	namelijk	te weten
uilachtig	adjectief	2.0	214831	214919	aartsdom	zeer dom
uit de kunst	verbinding	1.0	906449	906450	voortreffelijk	heel erg goed
uit één mond	verbinding	1.0	925335	925336	eensgezind	eenstemmig
verhoog	substantief	1.0	366356	557688	verhoging	podium
verscheidene	voornaamwoord	1.0	366370	970233	verschillende	diverse
vetjes	bijwoord	1.0	366385	559370	vetgedrukt	dikgedrukt
vierkantig	adjectief	2.0	170103	170105	ongecompliceerd	zonderomwegen
voeding	substantief	4.0	173099	554814	aanmoediging	versterking
voer	substantief	4.0	173296	933879	lading	vracht
vroed	adjectief	1.0	176499	176500	verstandig	wijs
wijl	voegwoord	B.1.0	182143	638098	aangezien	doordat
wit	adjectief	A.8.0	183087	576123	onschuldig	goed
wit	adjectief	A.9.0	183087	578787	doorzichtig	duidelijk
ww.	adjectief	2.0	587369	594081	werkwoordenlijk	werkwoordelijk
zachtgekookt	adjectief	2.1	184683	884836	zachtaardig	soft
zijn patatten afgieten	verbinding	1.0	897804	897806	urineren	plassen
zine	substantief	1.0	187505	187506	tijdschrift	magazine
zo arm als Job	adjectief	1.0	895433	895434	straatarm	zeer arm
zo brutaal als de beul	verbinding	1.0	895541	895542	hondsbrutaal	zeer brutaal
zo dun als een rietje	verbinding	1.0	928848	928849	broodmager	zeer dun
zo gek als een achterdeur	verbinding	1.0	904412	904414	knettergek	zeer gek
zo gek als een ui	verbinding	1.0	486242	928593	knettergek	zeer gek
zo groot als een huis	verbinding	1.0	928865	928866	levensgroot	zeer groot
zonder vaar noch vrees	verbinding	1.0	920422	920428	onverschrokken	zonder vrees
zonder vaar of vrees	verbinding	1.0	920423	920427	onverschrokken	zonder vrees
zwans	substantief	2.0	189675	189678	grappenmakerij	grap
zwart	adjectief	A.3.0	189681	574260	ondoordringbaar	onherbergzaam
zwart	adjectief	A.8.0	189681	571873	verborgen	slecht
zwart	adjectief	A.12.0	189681	189686	rampspoedig	somber
zwart	adjectief	A.13.0	189681	571842	onvriendelijk	nors
